image_id,xmin,ymin,xmax,ymax,label
20231006_083519.jpg,1131,2292,1316,2671,160
20231006_083521.jpg,752,2797,968,3471,160
20231006_083523.jpg,800,2792,1116,3560,160
20231006_083526.jpg,1800,2518,2442,2734,160
20231006_083530.jpg,1484,2802,1679,3171,160
20231006_083742.jpg,1251,2469,1499,2807,210
20231006_083744.jpg,1642,2623,2158,2818,210
20231006_083745.jpg,1721,2676,2237,2813,210
20231006_083748.jpg,1684,3107,2237,3307,220
20231006_083750.jpg,1647,1039,2121,1197,220
20231006_083753.jpg,1773,2644,2442,2981,220
20231006_084412.jpg,1406,3476,1573,3514,370
20231006_084416.jpg,1137,2271,1305,2576,370
20231006_084417.jpg,1200,2323,1342,2781,370
20231006_084419.jpg,1184,2486,1442,3076,370
20231006_084421.jpg,1231,2260,1473,2860,370
20231006_084422.jpg,1210,1971,1463,2539,370
20231006_084423.jpg,1200,2028,1452,2571,370
20231006_084427.jpg,1637,2460,2252,2818,370
20231006_084429.jpg,1584,2560,1895,2992,370
20231006_084431.jpg,1616,2634,1852,2976,370
20231006_084434.jpg,1684,3028,2252,3407,370
20231006_084744.jpg,1147,2349,1279,2755,790
20231006_084746.jpg,984,2686,1231,3192,790
20231006_084748.jpg,616,2434,858,2860,790
20231006_084750.jpg,1,2249,189,2728,790
20231006_084754.jpg,1884,3481,2047,3855,790
20231006_084757.jpg,1305,2297,1526,2397,780
20231006_084800.jpg,984,2465,1463,2639,780
20231006_084801.jpg,1158,2449,1595,2618,770
20231006_085639.jpg,1163,2796,1756,2930,1310
20231006_085644.jpg,2000,928,2558,1097,1310
20231006_085646.jpg,1963,71,2589,244,1310
20231006_085648.jpg,1052,2981,1952,3255,1310
20231006_085650.jpg,1347,3192,2268,3581,1310
20231006_085653.jpg,1779,2171,2221,2313,1310
20231006_090352.jpg,889,2718,1168,3323,1940
20231006_090354.jpg,916,2702,1189,3355,1940
20231006_090355.jpg,926,2660,1273,3313,1940
20231006_090358.jpg,542,3165,1400,3513,1940
20231006_090400.jpg,1526,2939,2321,3365,1940
20231006_090403.jpg,1595,3249,2189,3481,1940
20231006_090405.jpg,1452,3360,2047,3560,1940
IMG_6032.jpeg,1027,2485,1258,2821,370
IMG_6033.jpeg,537,2111,624,2292,370
IMG_6034.jpeg,729,1839,881,2102,370
IMG_6035.jpeg,612,2197,694,2326,370
IMG_6036.jpeg,784,2246,964,2486,370
IMG_6037.jpeg,1204,1778,1504,2234,370
IMG_6038.jpeg,1380,1782,1604,2242,370
IMG_6039.jpeg,1132,2090,1328,2410,370
IMG_6040.jpeg,1644,2126,1828,2350,370
IMG_6041.jpeg,712,1910,1108,2118,370
IMG_6042.jpeg,1256,1838,1380,2170,370
IMG_6045.jpeg,1164,2302,1428,2681,720
IMG_6046.jpeg,1101,1739,1322,2218,720
IMG_6047.jpeg,928,2655,1101,2887,720
IMG_6048.jpeg,1391,2776,1659,3350,720
IMG_6049.jpeg,1059,3402,1396,4018,720
IMG_6050.jpeg,1054,2255,1407,2992,720
IMG_6051.jpeg,944,2087,1155,2418,720
IMG_6052.jpeg,813,1623,1050,2123,720
IMG_6053.jpeg,1018,2523,1392,3281,720
IMG_6054.jpeg,771,2476,1060,3187,720
IMG_6057.jpeg,1549,2676,1780,3055,1320
IMG_6058.jpeg,1117,2476,1275,2913,1320
IMG_6059.jpeg,1201,2292,1364,2565,1320
IMG_6060.jpeg,944,2265,1118,2655,1310
IMG_6061.jpeg,765,2550,913,2750,1310
IMG_6062.jpeg,850,2287,1055,2787,1310
IMG_6063.jpeg,892,1976,1018,2434,1310
IMG_6064.jpeg,1256,1734,1440,2150,1310
IMG_6065.jpeg,1044,1966,1224,2258,1310
IMG_6066.jpeg,717,2576,922,2897,1310
IMG_6067.jpeg,1438,2344,1733,2687,1310
IMG_6068.jpeg,1343,2318,1522,2760,1310
IMG_6069.jpeg,1396,3055,1617,3508,1310
